Sentence,Hugging Face (BERT),Flair (BERT),Classic BERT
final one like follow comment chance,"[0.020990483462810516, -0.05056784301996231, 0.076274573802948, 0.06944358348846436, -0.2366497814655304]","[0.020990483462810516, -0.05056784301996231, 0.076274573802948, 0.06944358348846436, -0.2366497814655304]","[0.020990483462810516, -0.05056784301996231, 0.076274573802948, 0.06944358348846436, -0.2366497814655304]"
man ad everywhere,"[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]","[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]","[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]"
see star premiere,"[-0.18149882555007935, 0.026311583817005157, -0.1811567097902298, -0.08385191857814789, 0.07160284370183945]","[-0.18149882555007935, 0.026311583817005157, -0.1811567097902298, -0.08385191857814789, 0.07160284370183945]","[-0.18149882555007935, 0.026311583817005157, -0.1811567097902298, -0.08385191857814789, 0.07160284370183945]"
get ready rt like paytm surprise,"[0.1653844714164734, 0.015076104551553726, 0.19784913957118988, 0.08932200819253922, -0.12790553271770477]","[0.1653844714164734, 0.015076104551553726, 0.19784913957118988, 0.08932200819253922, -0.12790553271770477]","[0.1653844714164734, 0.015076104551553726, 0.19784913957118988, 0.08932200819253922, -0.12790553271770477]"
honestly chris evans saying cried six time hemsworth saying cried six time mean,"[-0.03300115838646889, -0.11036756634712219, -0.07453028857707977, -0.07455495744943619, -0.5780519843101501]","[-0.03300115838646889, -0.11036756634712219, -0.07453028857707977, -0.07455495744943619, -0.5780519843101501]","[-0.03300115838646889, -0.11036756634712219, -0.07453028857707977, -0.07455495744943619, -0.5780519843101501]"
born leader,"[-0.41761109232902527, 0.04771096259355545, -0.12072661519050598, 0.020615944638848305, -0.03764461725950241]","[-0.41761109232902527, 0.04771096259355545, -0.12072661519050598, 0.020615944638848305, -0.03764461725950241]","[-0.41761109232902527, 0.04771096259355545, -0.12072661519050598, 0.020615944638848305, -0.03764461725950241]"
red carpet,"[-0.4127464294433594, 0.11927104741334915, -0.33177298307418823, 0.15016739070415497, 0.3525490462779999]","[-0.4127464294433594, 0.11927104741334915, -0.33177298307418823, 0.15016739070415497, 0.3525490462779999]","[-0.4127464294433594, 0.11927104741334915, -0.33177298307418823, 0.15016739070415497, 0.3525490462779999]"
world premiere marvel studio la follow along instagram story,"[0.1148267313838005, -0.36580756306648254, 0.11817619204521179, -0.033089086413383484, -0.09403006732463837]","[0.1148267313838005, -0.36580756306648254, 0.11817619204521179, -0.033089086413383484, -0.09403006732463837]","[0.1148267313838005, -0.36580756306648254, 0.11817619204521179, -0.033089086413383484, -0.09403006732463837]"
came wrong avenger good luck getting information captain chris evans,"[-0.4894178807735443, -0.04858934506773949, -0.053860243409872055, -0.18327146768569946, -0.4008435308933258]","[-0.4894178807735443, -0.04858934506773949, -0.053860243409872055, -0.18327146768569946, -0.4008435308933258]","[-0.4894178807735443, -0.04858934506773949, -0.053860243409872055, -0.18327146768569946, -0.4008435308933258]"
endgame watching opening week,"[-0.3982607424259186, -0.32858264446258545, -0.03923514857888222, -0.10192219913005829, -0.1573440134525299]","[-0.3982607424259186, -0.32858264446258545, -0.03923514857888222, -0.10192219913005829, -0.1573440134525299]","[-0.3982607424259186, -0.32858264446258545, -0.03923514857888222, -0.10192219913005829, -0.1573440134525299]"
still emotionally prepared tomorrow,"[-0.20305542647838593, 0.10351233184337616, -0.011734824627637863, -0.08408702164888382, -0.4279404878616333]","[-0.20305542647838593, 0.10351233184337616, -0.011734824627637863, -0.08408702164888382, -0.4279404878616333]","[-0.20305542647838593, 0.10351233184337616, -0.011734824627637863, -0.08408702164888382, -0.4279404878616333]"
whatever take live world premiere marvel studio keep watching interview,"[-0.30327197909355164, -0.34060725569725037, 0.12136808037757874, 0.043090611696243286, -0.00936741754412651]","[-0.30327197909355164, -0.34060725569725037, 0.12136808037757874, 0.043090611696243286, -0.00936741754412651]","[-0.30327197909355164, -0.34060725569725037, 0.12136808037757874, 0.043090611696243286, -0.00936741754412651]"
marvel,"[-0.42890650033950806, -0.14974528551101685, -0.05746839568018913, -0.036195479333400726, 0.19446054100990295]","[-0.42890650033950806, -0.14974528551101685, -0.05746839568018913, -0.036195479333400726, 0.19446054100990295]","[-0.42890650033950806, -0.14974528551101685, -0.05746839568018913, -0.036195479333400726, 0.19446054100990295]"
wait chris hemsworth spill detail thor fate pretty sure count something,"[0.1730136275291443, 0.10380740463733673, 0.0950532928109169, 0.11046446114778519, -0.24890342354774475]","[0.1730136275291443, 0.10380740463733673, 0.0950532928109169, 0.11046446114778519, -0.24890342354774475]","[0.1730136275291443, 0.10380740463733673, 0.0950532928109169, 0.11046446114778519, -0.24890342354774475]"
salute,"[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]","[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]","[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]"
get ready rt like paytm surprise,"[0.1653844714164734, 0.015076104551553726, 0.19784913957118988, 0.08932200819253922, -0.12790553271770477]","[0.1653844714164734, 0.015076104551553726, 0.19784913957118988, 0.08932200819253922, -0.12790553271770477]","[0.1653844714164734, 0.015076104551553726, 0.19784913957118988, 0.08932200819253922, -0.12790553271770477]"
scarlett johansson attends world premiere marvel studio los angeles,"[-0.20902018249034882, 0.33322539925575256, 0.1367083489894867, 0.19285167753696442, 0.06293583661317825]","[-0.20902018249034882, 0.33322539925575256, 0.1367083489894867, 0.19285167753696442, 0.06293583661317825]","[-0.20902018249034882, 0.33322539925575256, 0.1367083489894867, 0.19285167753696442, 0.06293583661317825]"
man kicked as epic conclusion year film laugh incredible action,"[-0.35243046283721924, 0.018933147192001343, 0.2566527724266052, -0.0391157791018486, -0.1374959498643875]","[-0.35243046283721924, 0.018933147192001343, 0.2566527724266052, -0.0391157791018486, -0.1374959498643875]","[-0.35243046283721924, 0.018933147192001343, 0.2566527724266052, -0.0391157791018486, -0.1374959498643875]"
love picture,"[-0.28605639934539795, 0.027793072164058685, -0.3103983998298645, 0.13897404074668884, -0.0447179339826107]","[-0.28605639934539795, 0.027793072164058685, -0.3103983998298645, 0.13897404074668884, -0.0447179339826107]","[-0.28605639934539795, 0.027793072164058685, -0.3103983998298645, 0.13897404074668884, -0.0447179339826107]"
beginning end era,"[-0.40954387187957764, -0.0369243323802948, -0.16976238787174225, -0.1549321711063385, -0.3810760974884033]","[-0.40954387187957764, -0.0369243323802948, -0.16976238787174225, -0.1549321711063385, -0.3810760974884033]","[-0.40954387187957764, -0.0369243323802948, -0.16976238787174225, -0.1549321711063385, -0.3810760974884033]"
brick hour one heroic set,"[-0.02386998012661934, 0.10301791876554489, -0.012921128422021866, 0.05394387245178223, -0.18565306067466736]","[-0.02386998012661934, 0.10301791876554489, -0.012921128422021866, 0.05394387245178223, -0.18565306067466736]","[-0.02386998012661934, 0.10301791876554489, -0.012921128422021866, 0.05394387245178223, -0.18565306067466736]"
man ad everywhere,"[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]","[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]","[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]"
miley liam chris hemsworth premiere,"[-0.5507336854934692, 0.22010836005210876, -0.38897326588630676, -0.12397687137126923, -0.2608455717563629]","[-0.5507336854934692, 0.22010836005210876, -0.38897326588630676, -0.12397687137126923, -0.2608455717563629]","[-0.5507336854934692, 0.22010836005210876, -0.38897326588630676, -0.12397687137126923, -0.2608455717563629]"
chris evans crash iron man reunion carpet marvel entertainment,"[-0.6415398120880127, 0.14093956351280212, -0.10813809931278229, -0.1483098417520523, -0.12005147337913513]","[-0.6415398120880127, 0.14093956351280212, -0.10813809931278229, -0.1483098417520523, -0.12005147337913513]","[-0.6415398120880127, 0.14093956351280212, -0.10813809931278229, -0.1483098417520523, -0.12005147337913513]"
honestly chris evans saying cried six time hemsworth saying cried six time mean,"[-0.03300115838646889, -0.11036756634712219, -0.07453028857707977, -0.07455495744943619, -0.5780519843101501]","[-0.03300115838646889, -0.11036756634712219, -0.07453028857707977, -0.07455495744943619, -0.5780519843101501]","[-0.03300115838646889, -0.11036756634712219, -0.07453028857707977, -0.07455495744943619, -0.5780519843101501]"
salute,"[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]","[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]","[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]"
watching laughed loud clapped much force cried hard movie,"[0.13042880594730377, 0.03293098509311676, 0.19815722107887268, 0.01538845058530569, -0.2941126525402069]","[0.13042880594730377, 0.03293098509311676, 0.19815722107887268, 0.01538845058530569, -0.2941126525402069]","[0.13042880594730377, 0.03293098509311676, 0.19815722107887268, 0.01538845058530569, -0.2941126525402069]"
wow feel like cry amazing,"[-0.05155879259109497, 0.1959487795829773, 0.08071282505989075, -0.004988662898540497, -0.3581748306751251]","[-0.05155879259109497, 0.1959487795829773, 0.08071282505989075, -0.004988662898540497, -0.3581748306751251]","[-0.05155879259109497, 0.1959487795829773, 0.08071282505989075, -0.004988662898540497, -0.3581748306751251]"
look exclusive poster get purchase marvel studio,"[-0.030367251485586166, -0.6265337467193604, -0.01765601709485054, 0.3355371654033661, -0.01444443129003048]","[-0.030367251485586166, -0.6265337467193604, -0.01765601709485054, 0.3355371654033661, -0.01444443129003048]","[-0.030367251485586166, -0.6265337467193604, -0.01765601709485054, 0.3355371654033661, -0.01444443129003048]"
man ad everywhere,"[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]","[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]","[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]"
elizabeth olsen bringing magic,"[-0.7193948030471802, 0.2193247675895691, 0.11088131368160248, 0.446341335773468, 0.09301621466875076]","[-0.7193948030471802, 0.2193247675895691, 0.11088131368160248, 0.446341335773468, 0.09301621466875076]","[-0.7193948030471802, 0.2193247675895691, 0.11088131368160248, 0.446341335773468, 0.09301621466875076]"
steering clear social medium see,"[-0.36130598187446594, 0.09485002607107162, -0.18125736713409424, -0.2650192975997925, -0.048194147646427155]","[-0.36130598187446594, 0.09485002607107162, -0.18125736713409424, -0.2650192975997925, -0.048194147646427155]","[-0.36130598187446594, 0.09485002607107162, -0.18125736713409424, -0.2650192975997925, -0.048194147646427155]"
